"work_id","title","domain","field","subfield","topic"
"https://openalex.org/W4406532845","Large language models for building energy applications: Opportunities and challenges","Physical Sciences","Computer Science","Artificial Intelligence","Topic Modeling"
"https://openalex.org/W3104212047","Exoplanet classification and yield estimates for direct imaging missions","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4404573515","DESI 2024 II: sample definitions, characteristics, and two-point clustering statistics","Physical Sciences","Mathematics","Statistics and Probability","Advanced Statistical Methods and Models"
"https://openalex.org/W4414090563","GW250114: Testing Hawking’s Area Law and the Kerr Nature of Black Holes","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Pulsars and Gravitational Waves Research"
"https://openalex.org/W4406939472","An evaporite sequence from ancient brine recorded in Bennu samples","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4409165210","The Cosmic Evolution Early Release Science Survey (CEERS)","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Stellar, planetary, and galactic studies"
"https://openalex.org/W4411362466","Olorofim for the treatment of invasive fungal diseases in patients with few or no therapeutic options: a single-arm, open-label, phase 2b study","Health Sciences","Medicine","Infectious Diseases","Antifungal resistance and susceptibility"
"https://openalex.org/W4407296595","A fire deficit persists across diverse North American forests despite recent increases in area burned","Physical Sciences","Environmental Science","Global and Planetary Change","Fire effects on ecosystems"
"https://openalex.org/W4413883340","DESI 2024 V: Full-Shape galaxy clustering from galaxies and quasars","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4412494077","Diagnosis and Management of Community-acquired Pneumonia. An Official American Thoracic Society Clinical Practice Guideline","Health Sciences","Medicine","Epidemiology","Pneumonia and Respiratory Infections"
"https://openalex.org/W4414860802","Constraints on neutrino physics from DESI DR2 BAO and DR1 full shape","Physical Sciences","Physics and Astronomy","Nuclear and High Energy Physics","Astrophysics and Cosmic Phenomena"
"https://openalex.org/W4406203838","Global epidemiology of alcohol-related liver disease, liver cancer, and alcohol use disorder, 2000–2021","Health Sciences","Medicine","Pathology and Forensic Medicine","Alcohol Consumption and Health Effects"
"https://openalex.org/W4408865863","Witnessing the onset of reionization through Lyman-α emission at redshift 13","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Stellar, planetary, and galactic studies"
"https://openalex.org/W4409148148","The need to implement FAIR principles in biomolecular simulations","Social Sciences","Decision Sciences","Information Systems and Management","Scientific Computing and Data Management"
"https://openalex.org/W4408277724","Bedmap3 updated ice bed, surface and thickness gridded datasets for Antarctica","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Cryospheric studies and observations"
"https://openalex.org/W4409530075","Carbonates identified by the Curiosity rover indicate a carbon cycle operated on ancient Mars","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Planetary Science and Exploration"
"https://openalex.org/W4408398230","The eventful life of a luminous galaxy at <i>z</i> = 14: metal enrichment, feedback, and low gas fraction?","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4411730627","FLAG review 2024","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Atmospheric Ozone and Climate"
"https://openalex.org/W4407194079","Same data, different analysts: variation in effect sizes due to analytical decisions in ecology and evolutionary biology","Physical Sciences","Environmental Science","Ecological Modeling","Species Distribution and Climate Change"
"https://openalex.org/W4408181417","Tropical forests in the Americas are changing too slowly to track climate change","Life Sciences","Agricultural and Biological Sciences","Ecology, Evolution, Behavior and Systematics","Plant and animal studies"
"https://openalex.org/W4410309270","A universal language for finding mass spectrometry data patterns","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Metabolomics and Mass Spectrometry Studies"
"https://openalex.org/W4406052320","Genotoxicity of Microplastics on Living Organisms: Effects on Chromosomes, DNA and Gene Expression","Physical Sciences","Environmental Science","Pollution","Microplastics and Plastic Pollution"
"https://openalex.org/W4406447250","Prompt engineering to inform large language model in automated building energy modeling","Physical Sciences","Engineering","Building and Construction","BIM and Construction Integration"
"https://openalex.org/W4414451193","Dynamical dark energy in light of the DESI DR2 baryonic acoustic oscillations measurements","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4408013334","Opportunities of applying Large Language Models in building energy sector","Physical Sciences","Engineering","Electrical and Electronic Engineering","Energy Load and Power Forecasting"
"https://openalex.org/W4411465694","Indications for Lateral Extra‐articular Procedures in the Anterior Cruciate Ligament–Reconstructed Knee: Part I of an International Consensus Statement","Health Sciences","Medicine","Surgery","Knee injuries and reconstruction techniques"
"https://openalex.org/W4407835955","Self-Collected Vaginal Specimens for HPV Testing: Recommendations From the Enduring Consensus Cervical Cancer Screening and Management Guidelines Committee","Health Sciences","Medicine","Epidemiology","Cervical Cancer and HPV Research"
"https://openalex.org/W4408207634","Software and computing for Run 3 of the ATLAS experiment at the LHC","Physical Sciences","Physics and Astronomy","Nuclear and High Energy Physics","Particle physics theoretical and experimental studies"
"https://openalex.org/W4409543832","Galaxy mergers in the epoch of reionization – I. A JWST study of pair fractions, merger rates, and stellar mass accretion rates at <i>z</i>  = 4.5–11.5","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Stellar, planetary, and galactic studies"
"https://openalex.org/W4406637367","Declining precipitation frequency may drive earlier leaf senescence by intensifying drought stress and enhancing drought acclimation","Physical Sciences","Environmental Science","Global and Planetary Change","Plant Water Relations and Carbon Dynamics"
"https://openalex.org/W4407752676","Magnetically confined surface and bulk excitons in a layered antiferromagnet","Physical Sciences","Materials Science","Materials Chemistry","2D Materials and Applications"
"https://openalex.org/W4407798162","Convergent and Transdisciplinary Integration: On the Future of Integrated Modeling of Human‐Water Systems","Physical Sciences","Environmental Science","Water Science and Technology","Water-Energy-Food Nexus Studies"
"https://openalex.org/W4406034706","Deciphering the core shunt mechanism in Arabidopsis cuticular wax biosynthesis and its role in plant environmental adaptation","Life Sciences","Agricultural and Biological Sciences","Plant Science","Plant Surface Properties and Treatments"
"https://openalex.org/W4409530226","Structural basis for nucleolin recognition of <i>MYC</i> promoter G-quadruplex","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","DNA and Nucleic Acid Chemistry"
"https://openalex.org/W4415703997","BlackTHUNDER – A non-stellar Balmer break in a black hole-dominated little red dot at <i>z</i> = 7.04","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysical Phenomena and Observations"
"https://openalex.org/W3132188229","A Comprehensive Update of Adhesive Capsulitis and Minimally Invasive Treatment Options","Health Sciences","Medicine","Surgery","Shoulder Injury and Treatment"
"https://openalex.org/W4408648978","An overview of the petrography and petrology of particles from aggregate sample from asteroid Bennu","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4408762798","The abundance and nature of high-redshift quiescent galaxies from JADES spectroscopy and the FLAMINGO simulations","Physical Sciences","Physics and Astronomy","Instrumentation","Astronomy and Astrophysical Research"
"https://openalex.org/W4406663495","Collaborative large language models for automated data extraction in living systematic reviews","Social Sciences","Decision Sciences","Statistics, Probability and Uncertainty","Meta-analysis and systematic reviews"
"https://openalex.org/W4410092335","Disentangling the Impact of Adiposity From Insulin Resistance in Heart Failure With Preserved Ejection Fraction","Health Sciences","Medicine","Cardiology and Cardiovascular Medicine","Cardiovascular Function and Risk Factors"
"https://openalex.org/W4413038020","Primordial rotating disk composed of at least 15 dense star-forming clumps at cosmic dawn","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysics and Star Formation Studies"
"https://openalex.org/W4414845978","The <i>z</i> ≳ 9 Galaxy UV Luminosity Function from the JWST Advanced Deep Extragalactic Survey: Insights into Early Galaxy Evolution and Reionization","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Stellar, planetary, and galactic studies"
"https://openalex.org/W4416079886","Multicenter Study on the Safety of Pulsed Field Ablation in Over 40,000 Patients","Health Sciences","Medicine","Cardiology and Cardiovascular Medicine","Cardiac Arrhythmias and Treatments"
"https://openalex.org/W4416516626","COSMOS2025: The COSMOS-Web galaxy catalog of photometry, morphology, redshifts, and physical parameters from JWST, HST, and ground-based imaging","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4407375763","Human and mouse proteomics reveals the shared pathways in Alzheimer’s disease and delayed protein turnover in the amyloidome","Health Sciences","Medicine","Physiology","Alzheimer's disease research and treatments"
"https://openalex.org/W4407753426","The impact of kidney function on Alzheimer’s disease blood biomarkers: implications for predicting amyloid-β positivity","Health Sciences","Medicine","Nephrology","Chronic Kidney Disease and Diabetes"
"https://openalex.org/W4412600798","A gut sense for a microbial pattern regulates feeding","Health Sciences","Nursing","Nutrition and Dietetics","Biochemical Analysis and Sensing Techniques"
"https://openalex.org/W4406103786","Unravelling groundwater–stream connections over the continental United States","Physical Sciences","Environmental Science","Water Science and Technology","Hydrology and Watershed Management Studies"
"https://openalex.org/W4406796925","Local sources <i>versus</i> long-range transport of organic contaminants in the Arctic: future developments related to climate change","Social Sciences","Social Sciences","Sociology and Political Science","Arctic and Russian Policy Studies"
"https://openalex.org/W4410526543","Increased ROS and Persistent Pro-Inflammatory Responses in a Diabetic Wound Healing Model (db/db): Implications for Delayed Wound Healing","Health Sciences","Medicine","Rehabilitation","Wound Healing and Treatments"
"https://openalex.org/W4411845957","Atomate2: modular workflows for materials science","Physical Sciences","Materials Science","Materials Chemistry","Machine Learning in Materials Science"
"https://openalex.org/W4412010327","The Rising Global Burden of MASLD and Other Metabolic Diseases (2000–2021)","Health Sciences","Medicine","Epidemiology","Liver Disease Diagnosis and Treatment"
"https://openalex.org/W4408236187","Photometric detection at 7.7 μm of a galaxy beyond redshift 14 with JWST/MIRI","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4412364766","The AURORA survey: the evolution of multiphase electron densities at high redshift","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4412708329","Achieving small singlet–triplet energy gaps in polycyclic heteroaromatic emitters","Physical Sciences","Engineering","Electrical and Electronic Engineering","Organic Light-Emitting Diodes Research"
"https://openalex.org/W4407095186","Strategic bidding of virtual power plants in integrated electricity-carbon-green certificate market with renewable energy uncertainties","Physical Sciences","Engineering","Electrical and Electronic Engineering","Smart Grid Energy Management"
"https://openalex.org/W4408148630","A framework for integrating genomics, microbial traits, and ecosystem biogeochemistry","Physical Sciences","Environmental Science","Ecology","Microbial Community Ecology and Physiology"
"https://openalex.org/W4408671886","Projecting Future Wetland Dynamics Under Climate Change and Land Use Pressure: A Machine Learning Approach Using Remote Sensing and Markov Chain Modeling","Physical Sciences","Environmental Science","Global and Planetary Change","Land Use and Ecosystem Services"
"https://openalex.org/W4409776768","Investigating the impact of trial retractions on the healthcare evidence ecosystem (VITALITY Study I): retrospective cohort study","Social Sciences","Social Sciences","Safety Research","Academic integrity and plagiarism"
"https://openalex.org/W4412102628","Pervasive but biome-dependent relationship between fragmentation and resilience in forests","Physical Sciences","Environmental Science","Global and Planetary Change","Ecosystem dynamics and resilience"
"https://openalex.org/W4412760359","Reconsidering space-for-time substitution in climate change ecology","Physical Sciences","Environmental Science","Ecological Modeling","Species Distribution and Climate Change"
"https://openalex.org/W4412788525","The ALMA Survey of Gas Evolution of PROtoplanetary Disks (AGE-PRO). I. Program Overview and Summary of First Results","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysics and Star Formation Studies"
"https://openalex.org/W4413137545","Medications for adults with type 2 diabetes: a living systematic review and network meta-analysis","Health Sciences","Medicine","Endocrinology, Diabetes and Metabolism","Diabetes Treatment and Management"
"https://openalex.org/W4414453376","Early time solution as an alternative to the late time evolving dark energy with DESI DR2 BAO","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4406562062","Performance of the pooled cohort equations and D:A:D risk scores among individuals with HIV in a global cardiovascular disease prevention trial: a cohort study leveraging data from REPRIEVE","Health Sciences","Medicine","Emergency Medicine","HIV-related health complications and treatments"
"https://openalex.org/W4407609559","Excited State Structure and Decay Rates for Aggregates","Physical Sciences","Materials Science","Materials Chemistry","Luminescence and Fluorescent Materials"
"https://openalex.org/W4408189550","The importance of tropical tree-ring chronologies for global change research","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Tree-ring climate responses"
"https://openalex.org/W4408471439","Physics‐Informed Neural Networks for Estimating a Continuous Form of the Soil Water Retention Curve From Basic Soil Properties","Physical Sciences","Engineering","Civil and Structural Engineering","Soil and Unsaturated Flow"
"https://openalex.org/W4410484385","Constraining the major merger history of <i>z</i> ∼ 3–9 galaxies using JADES: dominant <i>in situ</i> star formation","Physical Sciences","Physics and Astronomy","Instrumentation","Astronomy and Astrophysical Research"
"https://openalex.org/W4411022810","Concurrent loss of the Y chromosome in cancer and T cells impacts outcome","Life Sciences","Immunology and Microbiology","Immunology","Immune Cell Function and Interaction"
"https://openalex.org/W4413409805","Mineralogical evidence for hydrothermal alteration of Bennu samples","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4417268244","Black Hole Spectroscopy and Tests of General Relativity with GW250114","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Pulsars and Gravitational Waves Research"
"https://openalex.org/W7117112714","Future Circular Collider Feasibility Study Report","Physical Sciences","Physics and Astronomy","Radiation","Radiation Detection and Scintillator Technologies"
"https://openalex.org/W4407235680","Effects of Microplastics on Bioavailability, Persistence and Toxicity of Plant Pesticides: An Agricultural Perspective","Physical Sciences","Environmental Science","Pollution","Microplastics and Plastic Pollution"
"https://openalex.org/W4407743753","Relationality, interconnectedness, and identity: A process‐focused approach to second language acquisition and teaching (SLA/T)","Social Sciences","Arts and Humanities","Language and Linguistics","EFL/ESL Teaching and Learning"
"https://openalex.org/W4410051514","Groundwater dominates snowmelt runoff and controls streamflow efficiency in the western United States","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Cryospheric studies and observations"
"https://openalex.org/W4410080756","Large language model-based agent Schema and library for automated building energy analysis and modeling","Physical Sciences","Engineering","Building and Construction","Building Energy and Comfort Optimization"
"https://openalex.org/W4410344373","Evolution characteristics of unfrozen water content and damage for saturated sandstone during freezing–thawing cycle process based on the in-situ nuclear magnetic resonance","Physical Sciences","Engineering","Ocean Engineering","Coal Properties and Utilization"
"https://openalex.org/W4412068747","Validation of the DESI DR2 measurements of baryon acoustic oscillations from galaxies and quasars","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Cosmology and Gravitation Theories"
"https://openalex.org/W4415701540","Interstellar Mapping And Acceleration Probe: The NASA IMAP Mission","Physical Sciences","Engineering","Biomedical Engineering","Photocathodes and Microchannel Plates"
"https://openalex.org/W4406179078","To disclose or not to disclose: Exploring the risk of being transparent about GenAI use in second language writing","Social Sciences","Arts and Humanities","Literature and Literary Theory","Discourse Analysis in Language Studies"
"https://openalex.org/W4407394904","Global burden of HBV-related liver disease: Primary liver cancer due to chronic HBV infection increased in over one-third of countries globally from 2000 to 2021","Health Sciences","Medicine","Epidemiology","Hepatitis B Virus Studies"
"https://openalex.org/W4409896024","A comparison of p‐tau assays for the specificity to detect tau changes in Alzheimer's disease","Health Sciences","Medicine","Physiology","Alzheimer's disease research and treatments"
"https://openalex.org/W4411080332","Agrivoltaics as a climate-smart and resilient solution for midday depression in photosynthesis in dryland regions","Physical Sciences","Environmental Science","Environmental Engineering","Photovoltaic Systems and Sustainability"
"https://openalex.org/W4412795195","Cholesterol modulates membrane elasticity via unified biophysical laws","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Lipid Membrane Structure and Behavior"
"https://openalex.org/W4407098081","Recent centennial drought on the Tibetan Plateau is outstanding within the past 3500 years","Physical Sciences","Earth and Planetary Sciences","Atmospheric Science","Tree-ring climate responses"
"https://openalex.org/W4409759404","‘Little red dots’ cannot reside in the same dark matter haloes as comparably luminous unobscured quasars","Physical Sciences","Engineering","Electrical and Electronic Engineering","CCD and CMOS Imaging Sensors"
"https://openalex.org/W4410513363","Alcohol intake and pancreatic cancer risk: An analysis from 30 prospective studies across Asia, Australia, Europe, and North America","Health Sciences","Medicine","Oncology","Pancreatic and Hepatic Oncology Research"
"https://openalex.org/W4410544434","Intraputaminal Delivery of Adeno‐Associated Virus Serotype 2<b>–</b>Glial Cell Line–Derived Neurotrophic Factor in Mild or Moderate Parkinson's Disease","Life Sciences","Neuroscience","Cellular and Molecular Neuroscience","Nerve injury and regeneration"
"https://openalex.org/W4412788447","The ALMA Survey of Gas Evolution of PROtoplanetary Disks (AGE-PRO). V. Protoplanetary Gas Disk Masses","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysics and Star Formation Studies"
"https://openalex.org/W4414873989","Evidence for large baryonic feedback at low and intermediate redshifts from kinematic Sunyaev-Zel’dovich observations with ACT and DESI photometric galaxies","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4406070906","Multi-time scale robust optimization for integrated multi-energy system considering the internal coupling relationship of photovoltaic battery swapping-charging-storage station","Physical Sciences","Engineering","Electrical and Electronic Engineering","Integrated Energy Systems Optimization"
"https://openalex.org/W4407813513","Extreme weather events have strong but different impacts on plant and insect phenology","Physical Sciences","Environmental Science","Ecological Modeling","Species Distribution and Climate Change"
"https://openalex.org/W4408246072","Canopy functional trait variation across Earth’s tropical forests","Physical Sciences","Environmental Science","Nature and Landscape Conservation","Ecology and Vegetation Dynamics Studies"
"https://openalex.org/W4408983692","REBELS-IFU: dust attenuation curves of 12 massive galaxies at <i>z</i> ≃ 7","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Galaxies: Formation, Evolution, Phenomena"
"https://openalex.org/W4409335939","Lack of Rest-frame Ultraviolet Variability in Little Red Dots Based on HST and JWST Observations","Physical Sciences","Physics and Astronomy","Atomic and Molecular Physics, and Optics","Adaptive optics and wavefront sensing"
"https://openalex.org/W4410992100","Estimated Burden of Coccidioidomycosis","Health Sciences","Medicine","Epidemiology","Fungal Infections and Studies"
"https://openalex.org/W4411405746","Machine learning of microstructure–property relationships in materials leveraging microstructure representation from foundational vision transformers","Physical Sciences","Materials Science","Materials Chemistry","Machine Learning in Materials Science"
"https://openalex.org/W4413952123","Deep learning for computational imaging: from data-driven to physics-enhanced approaches","Health Sciences","Medicine","Radiology, Nuclear Medicine and Imaging","Medical Imaging Techniques and Applications"
"https://openalex.org/W4406436964","Cost-Effectiveness of Noninvasive Colorectal Cancer Screening in Community Clinics","Health Sciences","Medicine","Oncology","Colorectal Cancer Screening and Detection"
"https://openalex.org/W4406708852","The persistent shadow of the supermassive black hole of M87","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysical Phenomena and Observations"
"https://openalex.org/W4407278670","Synthesis of magnetic biochar co-doped with sulfur, iron, and manganese via a novel modification method for simultaneous Cd and Pb remediation","Physical Sciences","Environmental Science","Water Science and Technology","Adsorption and biosorption for pollutant removal"
"https://openalex.org/W4407986552","Chronodisruption enhances inflammatory cytokine release from visceral adipose tissue in obesity","Life Sciences","Neuroscience","Endocrine and Autonomic Systems","Circadian rhythm and melatonin"
"https://openalex.org/W4408549997","On Robustness of the Explanatory Power of Machine Learning Models: Insights From a New Explainable AI Approach Using Sensitivity Analysis","Physical Sciences","Computer Science","Artificial Intelligence","Explainable Artificial Intelligence (XAI)"
"https://openalex.org/W4408921885","Novel blood‐based proteomic signatures across multiple neurodegenerative diseases","Physical Sciences","Chemistry","Spectroscopy","Advanced Proteomics Techniques and Applications"
"https://openalex.org/W4408974873","Ranking of AI-Based Criteria in Health Tourism Using Fuzzy SWARA Method","Social Sciences","Business, Management and Accounting","Business and International Management","E-commerce and Technology Innovations"
"https://openalex.org/W4410157351","The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2","Health Sciences","Medicine","Infectious Diseases","SARS-CoV-2 and COVID-19 Research"
"https://openalex.org/W4410974136","An international Delphi consensus for reporting of setting in psychedelic clinical trials","Social Sciences","Psychology","Clinical Psychology","Psychedelics and Drug Studies"
"https://openalex.org/W4406321378","“Enough is enough, we like our farms”: The role of landscape ideology in shaping perceptions of solar energy and agrivoltaics in the rural American Southwest","Physical Sciences","Environmental Science","Environmental Engineering","Photovoltaic Systems and Sustainability"
"https://openalex.org/W4407009939","Adverse Prehospital Events and Outcomes After Traumatic Brain Injury","Health Sciences","Medicine","Neurology","Traumatic Brain Injury and Neurovascular Disturbances"
"https://openalex.org/W4407681992","Declining Groundwater Storage in the Indus Basin Revealed Using GRACE and GRACE‐FO Data","Physical Sciences","Earth and Planetary Sciences","Oceanography","Geophysics and Gravity Measurements"
"https://openalex.org/W4411202205","MINDS: The very low-mass star and brown dwarf sample. Detections and trends in the inner disk gas","Physical Sciences","Chemistry","Spectroscopy","Spectroscopy and Laser Applications"
"https://openalex.org/W4412707845","The mechanotransducer Piezo1 coordinates metabolism and inflammation to promote skin growth","Health Sciences","Medicine","Physiology","Erythrocyte Function and Pathophysiology"
"https://openalex.org/W4416795380","Benchmarking DNA foundation models for genomic and genetic tasks","Life Sciences","Biochemistry, Genetics and Molecular Biology","Genetics","Genomics and Rare Diseases"
"https://openalex.org/W4417436014","Prevalence of Alzheimer’s disease pathology in the community","Health Sciences","Medicine","Psychiatry and Mental health","Dementia and Cognitive Impairment Research"
"https://openalex.org/W4406220413","Recent Trends in the Application of Photocatalytic Membranes in Removal of Emerging Organic Contaminants in Wastewater","Physical Sciences","Energy","Renewable Energy, Sustainability and the Environment","TiO2 Photocatalysis and Solar Cells"
"https://openalex.org/W4407743758","Forging common ground in second language acquisition and teaching: A combined synergy statement","Social Sciences","Arts and Humanities","Language and Linguistics","EFL/ESL Teaching and Learning"
"https://openalex.org/W4409340468","Single-cell RNA sequencing reveals sex differences in the subcellular composition and associated gene-regulatory network activity of human carotid plaques","Life Sciences","Immunology and Microbiology","Immunology","Atherosclerosis and Cardiovascular Diseases"
"https://openalex.org/W4410253671","Measuring quantum discord at the LHC","Physical Sciences","Physics and Astronomy","Nuclear and High Energy Physics","Particle physics theoretical and experimental studies"
"https://openalex.org/W4413846311","RSV Vaccine Effectiveness Against Hospitalization Among US Adults Aged 60 Years or Older During 2 Seasons","Health Sciences","Medicine","Epidemiology","Respiratory viral infections research"
"https://openalex.org/W4417359775","BOLD signal changes can oppose oxygen metabolism across the human cortex","Health Sciences","Medicine","Radiology, Nuclear Medicine and Imaging","Advanced MRI Techniques and Applications"
"https://openalex.org/W4407597962","The spatial potential for agrivoltaics to address energy-agriculture land use conflicts in Great Britain","Physical Sciences","Environmental Science","Environmental Engineering","Photovoltaic Systems and Sustainability"
"https://openalex.org/W4407891902","Unlocking dynamic capabilities: Pathways for empirical research","Social Sciences","Business, Management and Accounting","Strategy and Management","Innovation and Knowledge Management"
"https://openalex.org/W4408750492","Are Deep Learning Models in Hydrology Entity Aware?","Physical Sciences","Environmental Science","Water Science and Technology","Hydrology and Watershed Management Studies"
"https://openalex.org/W4409436078","Percent-level timing of reionisation: Self-consistent, implicit-likelihood inference from XQR-30+ Lyα forest data","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Protein Structure and Dynamics"
"https://openalex.org/W4409868645","Oryza genome evolution through a tetraploid lens","Life Sciences","Biochemistry, Genetics and Molecular Biology","Molecular Biology","Genomics and Phylogenetic Studies"
"https://openalex.org/W4411674905","Cosmological implications of DESI DR2 BAO measurements in light of the latest ACT DR6 CMB data","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Solar and Space Plasma Dynamics"
"https://openalex.org/W4412788472","The ALMA Survey of Gas Evolution of PROtoplanetary Disks (AGE-PRO). X. Dust Substructures, Disk Geometries, and Dust-disk Radii","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astrophysics and Star Formation Studies"
"https://openalex.org/W4412883853","Two-dimensional material-based devices for in-sensor computing","Physical Sciences","Engineering","Electrical and Electronic Engineering","Advanced Memory and Neural Computing"
"https://openalex.org/W4413409775","The variety and origin of materials accreted by Bennu’s parent asteroid","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Astro and Planetary Science"
"https://openalex.org/W4413621336","WIde Separation Planets In Time (WISPIT): A Gap-clearing Planet in a Multi-ringed Disk around the Young Solar-type Star WISPIT 2","Physical Sciences","Physics and Astronomy","Astronomy and Astrophysics","Stellar, planetary, and galactic studies"
"https://openalex.org/W4415384321","Cardiotropic AAV gene therapy for heart failure: a phase 1 trial","Health Sciences","Medicine","Cardiology and Cardiovascular Medicine","Viral Infections and Immunology Research"
